	[Name]	[Type]	[Category]	[Power]	[PP]	Conditions	Other Effects	[Targets]	[LEVEL]
	Leech Life	Bug	Physical	1	20		User heals for half the damage taken by the target	Foe in front	★
	Bite	Dark	Physical	2	20		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★
	Dual Chop	Dragon	Physical	1	20		Move hits twice. The second attack can be targeted at an adjacent foe. Attack Modifier is halved for each hit.	Foe(s) in front	★
	Dragon Tail	Dragon	Physical	2	20		Target is pushed 2 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe in front	★
	Spark	Electric	Physical	2	20	Paralysed		Foe in front	★
	Spirit Break	Fairy	Physical	2	20	Sp.Atk Down 2		Foe in front	★
	Mach Punch	Fighting	Physical	1	20		Has Priority	Foe in front	★
	Flame Charge	Fire	Physical	1	20		Roll a d6 after damage has been dealt. On a 5-6, Spe Up 2.	Foe in front	★
	Peck	Flying	Physical	2	20		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★
	Dual Wingbeat	Flying	Physical	1	20		Move hits twice. The second attack can be targeted at an adjacent foe. Attack Modifier is halved for each hit.	Foe(s) in front	★
	Lick	Ghost	Physical	2	20	Paralysed		Foe in front	★
	Leafage	Grass	Physical	1	20		Has Priority.	Foe in front	★
	Bulldoze	Ground	Physical	2	20	Spe Down 2		Foe in front	★
	Ice Shard	Ice	Physical	1	20		Has Priority	Foe in front	★
	Wrap	Normal	Physical	1	20	Trapped	If the target is successfully Trapped, the User is also Restrained.	Foe in front	★
	Tackle	Normal	Physical	2	20		Pushes the target up to 2 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe in front	★
	Quick Attack	Normal	Physical	1	20		Has Priority	Foe in front	★
	Poison Sting	Poison	Physical	2	20	Poisoned		Foe in front	★
	Heart Stamp	Psychic	Physical	2	20	Flinch		Foe in front	★
	Rock Tomb	Rock	Physical	2	20	Spe Down 2		Foe in front	★
	Bullet Punch	Steel	Physical	1	20		Has Priority	Foe in front	★
	Razor Shell	Water	Physical	2	20	Def Down 2		Foe in front	★
									
	String Shot	Bug	Physical Status	0	15	Spe Down 2		Foe up to 2-tiles ahead	★
	Taunt	Dark	Physical Status	0	15	Taunted	Uses Influence vs Intutition. The target cannot use Status Moves for three turns.	Foe up to 2-tiles ahead	★
	Roost	Flying	Physical Status	1	15		Heal for number rolled. User loses Flying type and/or Levitate status for 1 round.	Self	★
	Mirror Move	Flying	Physical Status	0	15		User uses the same move as the target's last used move this turn.	Self	★
	Ingrain	Grass	Physical Status	2	15		Heal for number rolled. User is Restrained until the end of their next turn.	Self	★
	Mud Sport	Ground	Physical Status	0	15		Electric type moves do half damage for 5 turns.	Room	★
	Spikes	Ground	Physical Status	1	15		The user places spikes on 3 tiles in 2-tile radius that damages if the Pokemon enters the same Tile. Spikes can be stacked up to 3 times. Flying Pokemon and those that Levitate are unaffected.	Special	★
	Assist	Normal	Physical Status	---	15		The user performs the same Move as an Ally that is up to 2 tiles away's last move.	Self	★
	Block	Normal	Physical Status	0	15	Restrained		Foe in front	★
	Disable	Normal	Physical Status	0	15		The target cannot use the last move they used again for 3 rounds.	Foe in front	★
	Defence Curl	Normal	Physical Status	0	15	Def Up 2	Rollout and Ice Ball have their Move Power increased by 1 if used next turn.	Self	★
	Howl	Normal	Physical Status	0	15	Atk Up 2		Self	★
	Leer	Normal	Physical Status	0	15	Def Down 2		Foe in front	★
	Growl	Normal	Physical Status	0	15	Atk Down 2		Foes in Room	★
	Stealth Rock	Rock	Physical Status	1	15		The user places rocks on 3 tiles in a 2-tile radius that damages if the Pokemon occupies the same tile. Can deal supereffective/not very effective damage.	Special	★
	Automatize	Steel	Physical Status	0	15	Spe Up 2		Self	★
	Withdraw	Water	Physical Status	0	15	Def Up 2		Self	★
									
	Struggle Bug	Bug	Special	1	20	Sp.Atk Down 2		Foe up to 2 tiles ahead	★
	Snarl	Dark	Special	1	20	Sp.Atk Down 2		Foe up to 2 tiles ahead	★
	Twister	Dragon	Special	1	20	Flinch		Foe up to 2 tiles ahead	★
	Thunder Shock	Electric	Special	1	20	Paralysed		Foe up to 2 tiles ahead	★
	Draining Kiss	Fairy	Special	1	20		User heals for half the damage taken by the target	Foe up to 2 tiles ahead	★
	Vacuum Wave	Fighting	Special	1	20		Has Priority	Foe up to 2 tiles ahead	★
	Ember	Fire	Special	1	20	Burned		Foe up to 2 tiles ahead	★
	Gust	Flying	Special	1	20	Confused		Foe up to 2 tiles ahead	★
	Astonish	Ghost	Special	1	20	Flinch		Foe up to 2 tiles ahead	★
	Absorb	Grass	Special	1	20		User heals for half the damage taken by the target	Foe up to 2 tiles ahead	★
	Mud-Slap	Ground	Special	1	20	Blinded		Foe up to 2 tiles ahead	★
	Powder Snow	Ice	Special	1	20	Frozen		Foe up to 2 tiles ahead	★
	Round	Normal	Special	1	20		If another ally has used Round, increase move power by 1	Foe up to 2 tiles ahead	★
	Acid	Poison	Special	1	20	Poisoned		Foe up to 2 tiles ahead	★
	Confusion	Psychic	Special	1	20	Confused	Uses Decieve vs Intuition	Foe up to 2 tiles ahead	★
	Power Gem	Rock	Special	1	20	Spe Down 2		Foe up to 2 tiles ahead	★
	Mirror Shot	Steel	Special	1	20	Blinded		Foe up to 2 tiles ahead	★
	Bubble	Water	Special	1	20	Spe Down 2		Foe up to 2 tiles ahead	★
									
	Embargo	Dark	Special Status	0	15		Prevents Item Use for 3 rounds.	Foes in front	★
	Torment	Dark	Special Status	0	15	Taunted	The target must use a different move each turn. Uses Influence vs Intuition	Foe up to 2 tiles ahead	★
	Thunder Wave	Electric	Special Status	0	15	Paralysed		Foe in front	★
	Charge	Electric	Special Status	0	15	Sp. Def Up 2	Next Electric move has its Move Power increased by 1.	Self	★
	Baby-Doll Eyes	Fairy	Special Status	0	15	Atk Down 2	Has Priority. Uses Influence vs Intutition	Foe up to 2 tiles ahead	★
	Sweet Kiss	Fairy	Special Status	0	15	Confused	Uses Decieve vs Awareness	Foe in front	★
	Will-O-Wisp	Fire	Special Status	0	15	Burned		Foe in front	★
	Grudge	Ghost	Special Status	0	15		User gains the Grudge condition. The next Pokemon to attack them loses all PP of the last move they used.	Self	★
	Leech Seed	Grass	Special Status	0	15		Target takes 1d6 damage at the end of their turn, and you heal for the amount rolled.	Foe in front	★
	Mist	Ice	Special Status	0	15		The user and its allies cannot have stats lowered for 5 turns.	Allies in Room	★
	Roar	Normal	Special Status	0	15		Pushes target up to your Influence modifier in tiles. Target takes 1d6 damage if they collide with a Pokemon or wall.	Foe in front	★
	Supersonic	Normal	Special Status	0	15	Confused		Foe in front	★
	Yawn	Normal	Special Status	0	15	Yawning		Foe in front	★
	Smokescreen	Normal	Special Status	0	15	Blinded		Foe in front	★
	Poison Powder	Poison	Special Status	0	15	Poisoned		Foe in front	★
	Teleport	Psychic	Special Status	0	15		User teleports anywhere in the room, or returns to an adjacent Tile of an Ally if they are far off from their Team.	Self	★
	Hypnosis	Psychic	Special Status	0	15	Asleep		Foe in front	★
	Water Sport	Water	Special Status	0	15		Fire type moves deal half damage for 5 turns.	Room	★
									
									
	[Name]	[Type]	[Category]	[Power]	[PP]	Conditions	Other Effects	[Targets]	[LEVEL]
	Pounce	Bug	Physical	2	20	Spe Down 2		Foe up to 2 tiles ahead	★★
	Bug Bite	Bug	Physical	2	20		Eats targets held Berry	Foe in front	★★
	U-Turn	Bug	Physical	3	20		User switches place with an ally within 2 tiles.	Foe in front	★★
	Pursuit	Dark	Physical	2	20		When this Move is used as an Opportunity Strike, its damage is doubled instead of halved.	Foe in front	★★
	Sucker Punch	Dark	Physical	2	20		Has Priority.	Foe in front	★★
	Beat Up	Dark	Physical	1	15		Move power increases by 1 for every ally within a 1-tile range of the target.	Foe in front	★★
	Knock Off	Dark	Physical	2	20		Removes opponent's held item.	Foe in front	★★
	Night Slash	Dark	Physical	2	20		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Dragon Claw	Dragon	Physical	2	20		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Thunder Fang	Electric	Physical	3	20	Paralyzed		Foe in front	★★
	Volt Switch	Electric	Physical	2	20		User switches place with a nearby ally.	Foe in front	★★
	Play Rough	Fairy	Physical	3	20	Atk Down 2		Foe in front	★★
	Low Kick	Fighting	Physical	---	20		Power varies based on size. Power is 1d6 to Tiny, 2d6 to Small and Medium, 3d6 to Large, and 4d6 to Huge	Foe in front	★★
	Rock Smash	Fighting	Physical	2	20	Def Down 2	Breaks Walls	Foe in front	★★
	Power-Up Punch	Fighting	Physical	2	15		Roll a d6 after damage has been dealt. On a 5-6, Atk Up 2.	Foe in front	★★
	Rolling Kick	Fighting	Physical	3	20		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★
	Fire Fang	Fire	Physical	3	20	Burned		Foe in front	★★
	Fire Lash	Fire	Physical	2	15		Pulls the target one tile toward the user.	Foe up to 2 tiles ahead	★★
	Air Cutter	Flying	Physical	2	20		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Shadow Sneak	Ghost	Physical	2	20		Has Priority	Foe in front	★★
	Razor Leaf	Grass	Physical	2	20		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Needle Arm	Grass	Physical	3	20		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★
	Vine Whip	Grass	Physical	2	20		Pulls the target one tile toward the user.	Foe up to 2 tiles ahead	★★
	Stomping Tantrum	Ground	Physical	1	15		Increase move power by 1 if the user did not score a Critical Hit on their previous Move.	Foes within 1-tile range	★★
	Ice Fang	Ice	Physical	3	20	Frozen		Foe in front	★★
	Avalanche	Ice	Physical	2	15		Increase move power by 1 if the user went last.	Foes within 1-tile range	★★
	Pay Day	Normal	Physical	3	15		If target is defeated, and has been hit by this move atleast once, they drop 50-100 Poke.	Foe in front	★★
	Headbutt	Normal	Physical	3	20		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★
	Rapid Spin	Normal	Physical	1	15	Spe Up 2	Removes traps and hazards in the room.	Foes within 1-tile range	★★
	Dizzy Punch	Normal	Physical	3	20	Confused		Foe in front	★★
	Poison Fang	Poison	Physical	3	15	Badly Poisoned		Foe in front	★★
	Psyshield Bash	Psychic	Physical	2	10		Roll a d6 after damage has been dealt. On a 5-6, Def Up 2.	Foe in front	★★
	Rock Throw	Rock	Physical	3	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★
	Smack Down	Rock	Physical	3	15		Target does not gain any benefit from Flying or Levitate for 1 round.	Foe in front	★★
	Salt Cure	Rock	Physical	2	10		Deals 1d6 every turn. The target can make a Physical Status Check at the end of each of its turns to end the condition.	Foe in front	★★
	Magnet Bomb	Steel	Physical	2	15	Restrained		Foe in front	★★
	Metal Claw	Steel	Physical	2	15		Roll a d6 after damage has been dealt. On a 5-6, Atk Up 2.	Foe in front	★★
	Clamp	Water	Physical	1	15	Trapped		Foe in front	★★
	Flip Turn	Water	Physical	3	20		User switches place with an ally within 2 tiles.	Foe in front	★★
	Aqua Cutter	Water	Physical	2	15		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Aqua Jet	Water	Physical	2	20		Has Priority	Foe up to 2 tiles ahead	★★
									
	Defend Order	Bug	Physical Status	0	10	Def Up 2. Sp.Def Up 2.		Self	★★
	Sticky Web	Bug	Physical Status	0	15	Spe Down 2	The user places a Sticky Web that slows if the Pokemon enters the same Tile. Webs can be stacked up to 3 times. Flying Pokemon and those that Levitate are unaffected.	Room	★★
	Switcheroo	Dark	Physical Status	0	15		You replace your current Held Item with the Foe's. Uses Sneak vs Awareness	Foe up to 2 tiles ahead	★★
	Hone Claws	Dark	Physical Status	0	15	Atk Up 2	The user's next Physical Move increases its range by 1 tile.	Self	★★
	Torment	Dark	Physical Status	0	15		Target cannot use the same Move twice in a row. Uses Influence vs Intuition	Foe up to 2 tiles ahead	★★
	Dragon Dance	Dragon	Physical Status	0	15	Atk Up 2. Spe Up 2.		Self	★★
	Charm	Fairy	Physical Status	0	15	Atk Down 4	Uses Influence vs Intuition	Foe up to 2 tiles ahead	★★
	Bulk Up	Fighting	Physical Status	0	15	Atk Up 2. Def Up 2.	User's size increases by one stage.	Self	★★
	Feather Dance	Flying	Physical Status	0	15	Atk Down 4		Foe up to 2 tiles ahead	★★
	Roost	Flying	Physical Status	2	15		User heals for the amount rolled, but is unable to be Flying or Levitating for 1 round.	Self	★★
	Curse	Ghost	Physical Status	1	15		If User is Non-Ghost Type, Spe Down 2, Atk Up 2, Def Up 2. If User is Ghost Type, lose 1d6 health, but the target takes 1d6 health per turn.	Self/Foe up to 2-tiles ahead	★★
	Cotton Guard	Grass	Physical Status	0	15	Def Up 4		Self	★★
	Synthesis	Grass	Physical Status	2	15		User heals for the amount rolled. Healing increases by 2d6 in Harsh Sunlight. Loses 1d6 healing in other Weather.	Self	★★
	Sand Attack	Ground	Physical Status	0	15	Blinded		Foes in a 1-tile range	★★
	Swords Dance	Normal	Physical Status	0	15	Atk Up 4		Self	★★
	Helping Hand	Normal	Physical Status	0	15		The target's next move gains 2d6 damage	Ally in front	★★
	Foresight	Normal	Physical Status	0	15		Target can be hit by Normal and Fighting Moves. Target no longer benefits from Illusions or Invisibility. Uses Intuition vs Deceive.	Foe up to 2-tiles ahead	★★
	Double Team	Normal	Physical Status	0	15		User makes an illusory double. Whenever attacked, roll a 1d6. If 1-3, User is hit. If 4-6, illusory double is hit and disappears.	Self	★★
	Screech	Normal	Physical Status	0	15	Def Down 4		Foe up to 2-tiles ahead	★★
	Growth	Normal	Physical Status	0	15	Atk Up 2. Sp.Atk Up 2.	User's size increases by one stage.	Self	★★
	Minimize	Normal	Physical Status	0	15	Def Up 2. Sp. Def Up 2.	User's size decreases by one stage.	Self	★★
	Toxic Spikes	Poison	Physical Status	0	15		The user places 3 spikes in a 2-tile radius that Poison if the Pokemon enters the same tile. Can be stacked, causing Badly Poisoned. Flying Pokemon and those that Levitate are unaffected.	Room	★★
	Coil	Poison	Physical Status	0	15	Atk Up 2. Def Up 2.	User's size decreases by one stage.	Self	★★
	Barrier	Psychic	Physical Status	0	15	Def Up 4		Self	★★
	Rest	Psychic	Physical Status	0	15	Asleep	User falls Asleep, and regains full HP at the start of their next turn.	Self	★★
	Agility	Psychic	Physical Status	0	15	Spe Up 4		Self	★★
	Tar Shot	Rock	Physical Status	0	15	Spe Down 2	Target takes 1d6 extra damage from Fire moves until the start of your next round.	Foe up to 2-tiles ahead	★★
	Rock Polish	Rock	Physical Status	0	15	Spe Up 4		Self	★★
	Iron Defence	Steel	Physical Status	0	15	Def Up 4		Self	★★
	Shift Gear	Steel	Physical Status	0	15	Atk Up 2. Spe Up 2.		Self	★★
									
	Signal Beam	Bug	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
	Infestation	Bug	Special	2	15	Trapped		Foe up to 4tiles ahead	★★
	Dark Pulse	Dark	Special	2	15		Roll a d6 after damage has been dealt. On a 6, the target(s) is Flinched.	Foes in a 1-tile range	★★
	Dragon Breath	Dragon	Special	2	15	Paralysed		Foe up to 4 tiles ahead	★★
	Electroweb	Electric	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Electro Ball	Electric	Special	2	15		Move power increases by 1 if faster than the target.	Foe up to 4 tiles ahead	★★
	Charge Beam	Electric	Special	1	15		Roll a d6 after damage has been dealt. On a 5-6, Sp.Atk Up 2.	Foe up to 4 tiles ahead	★★
	Overdrive	Electric	Special	1	15	Frightened		Foes in a 1-tile range	★★
	Disarming Voice	Fairy	Special	1	15			Foes in a 1-tile range	★★
	Dazzling Gleam	Fairy	Special	2	15	Blinded		Foe up to 4 tiles ahead	★★
	Aura Sphere	Fighting	Special	2	15		Scores a Critical Hit on a 5-6.	Foe up to 4 tiles ahead	★★
	Fire Spin	Fire	Special	2	15	Trapped		Foe up to 4 tiles ahead	★★
	Flame Burst	Fire	Special	2	15		*If there is a Pokemon adjacent to the target, it also takes damage equal to half the damage rolled.	Foe up to 4 tiles ahead*	★★
	Incinerate	Fire	Special	2	15		Burns up the target's held Berry	Foe up to 4 tiles ahead*	★★
	Air Slash	Flying	Special	2	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe up to 4 tiles ahead	★★
	Hex	Ghost	Special	1	15		Increase move power by 1 if the target has a Status Condition.	Foe up to 4 tiles ahead	★★
	Mega Drain	Grass	Special	2	15		User heals for half the damage taken by the target.	Foe up to 4 tiles ahead	★★
	Mud Shot	Ground	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Icy Wind	Ice	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Uproar	Normal	Special	1	15		All Pokemon in the Room cannot fall Asleep for 5 turns.	Foes in a 1-tile range	★★
	Sonicboom	Normal	Special	1	15		Target is pushed 2 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe up to 4 tiles ahead	★★
	Echoed Voice	Normal	Special	1	15		Increase move power by 1 if used in the previous turn.	Foes in a 1-tile range	★★
	Tri Attack	Normal	Special	2	15		Roll a d6 to determine Status Condition. On a 1-2, Burn. On a 3-4, Paralyzed. On a 5-6, Frozen.	Foe up to 4 tiles ahead	★★
	Acid Bomb	Poison	Special	2	20	Sp.Def Down 2		Foe up to 4 tiles ahead	★★
	Sludge	Poison	Special	2	15	Poisoned		Foe up to 4 tiles ahead	★★
	Venoshock	Poison	Special	2	15		Move power increases by 1 if the target is Poisoned	Foe up to 4 tiles ahead	★★
	Psybeam	Psychic	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
	Ancient Power	Rock	Special	2	15		Roll a d6 after damage has been dealt. On a 6, Atk Up 2, Sp.Atk Up 2, Def Up 2, Sp.Def Up 2, Spe Up 2.	Foe up to 4 tiles ahead	★★
	Flash Cannon	Steel	Special	2	15	Blinded		Foe up to 4 tiles ahead	★★
	Whirlpool	Water	Special	2	15	Trapped		Foe up to 4 tiles ahead*	★★
	Octazooka	Water	Special	2	15	Blinded		Foe up to 4 tiles ahead*	★★
	Water Pulse	Water	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
									
	Nasty Plot	Dark	Special Status	0	15	Sp.Atk Up 4		Self	★★
	Snatch	Dark	Special Status	0	15		Has Priority. Whenever a Pokemon in the Room heals or changes their Stats this turn, you steal it for yourself.	Self	★★
	Magnet Rise	Electric	Special Status	0	15		User gains Levitate for 5 turns	Self	★★
	Aromatic Mist	Fairy	Special Status	0	15	Sp.Def Up 2		Ally up to 2 tiles ahead	★★
	Floral Healing	Fairy	Special Status	2	15		Heals the target for the amount rolled.	Self or Ally up to 2 tiles ahead	★★
	Defog	Flying	Special Status	0	15		Clears the room of all Hazards and Traps, and Screens	Room	★★
	Confuse Ray	Ghost	Special Status	0	15	Confused	Uses Decieve vs Awareness	Foe up to 2 tiles ahead	★★
	Spite	Ghost	Special Status	0	15		Target loses the PP of the last move they used	Foe in front	★★
	Stun Spore	Grass	Special Status	0	15	Paralysed		Foes in a 1-tile range	★★
	Worry Seed	Grass	Special Status	0	15		Target's Ability is changed to Insomnia.	Foe up to 2 tiles ahead	★★
	Rototiller	Ground	Special Status	0	15	Atk Up 2. Sp.Atk Up 2.	Only Grass Type Pokemon can recieve this benefit.	Room	★★
	Haze	Ice	Special Status	0	15		All stat changes are reset.	Room	★★
	Confide	Normal	Special Status	0	15	Sp Atk Down 4	Uses Influence vs Intuition.	Foe up to 2 tiles ahead	★★
	Attract	Normal	Special Status	0	15	Infatuated	Uses Influence vs Intuition.	Foe up to 2 tiles ahead	★★
	Mean Look	Normal	Special Status	0	15	Frightened	Uses Influence vs Intuition.	Foe up to 2-tiles ahead	★★
	Encore	Normal	Special Status	0	15		Target must use the same move again.	Foe up to 2 tiles ahead	★★
	Toxic	Poison	Special Status	0	15	Badly Poisoned		Foe in front	★★
	Trick	Psychic	Special Status	0	15		You replace your current Held Item with the Foe's.Uses Sneak vs Awareness	Foe up to 2 tiles ahead	★★
	Ally Switch	Psychic	Special Status	0	15		User, or an Ally of their choice, swaps places with an Ally.	Room	★★
	Cosmic Power	Psychic	Special Status	0	15	Def Up 2. Sp.Def Up 2.		Self	★★
